series,date,division,index
growth_yoy,2026-04-01,06,6.775
growth_yoy,2026-05-01,06,19.774
growth_mom,2015-02-01,06,-10.233
growth_mom,2015-03-01,06,11.928
growth_mom,2015-04-01,06,-10.853
growth_mom,2015-05-01,06,7.76
growth_mom,2015-06-01,06,-6.404
growth_mom,2015-07-01,06,3.309
growth_mom,2015-08-01,06,-8.806
growth_mom,2015-09-01,06,6.091
growth_mom,2015-10-01,06,3.396
growth_mom,2015-11-01,06,-1.368
growth_mom,2015-12-01,06,6.627
growth_mom,2016-01-01,06,1.555
growth_mom,2016-02-01,06,-7.93
growth_mom,2016-03-01,06,5.667
growth_mom,2016-04-01,06,-6.09
growth_mom,2016-05-01,06,4.849
growth_mom,2016-06-01,06,1.263
growth_mom,2016-07-01,06,-0.397
growth_mom,2016-08-01,06,-8.217
growth_mom,2016-09-01,06,1.752
growth_mom,2016-10-01,06,8.151
growth_mom,2016-11-01,06,0.178
growth_mom,2016-12-01,06,6.976
growth_mom,2017-01-01,06,-2.898
growth_mom,2017-02-01,06,-8.912
growth_mom,2017-03-01,06,8.495
growth_mom,2017-04-01,06,-9.734
growth_mom,2017-05-01,06,1.827
growth_mom,2017-06-01,06,4.656
growth_mom,2017-07-01,06,-1.864
growth_mom,2017-08-01,06,-0.234
growth_mom,2017-09-01,06,-2.781
growth_mom,2017-10-01,06,6.736
growth_mom,2017-11-01,06,1.634
growth_mom,2017-12-01,06,0.626
growth_mom,2018-01-01,06,0.354
growth_mom,2018-02-01,06,-12.27
growth_mom,2018-03-01,06,11.847
growth_mom,2018-04-01,06,-5.224
growth_mom,2018-05-01,06,0.034
growth_mom,2018-06-01,06,-2.682
growth_mom,2018-07-01,06,-2.039
growth_mom,2018-08-01,06,-0.636
growth_mom,2018-09-01,06,-1.374
growth_mom,2018-10-01,06,13.839
growth_mom,2018-11-01,06,-2.767
growth_mom,2018-12-01,06,4.642
growth_mom,2019-01-01,06,0.944
growth_mom,2019-02-01,06,-15.524
growth_mom,2019-03-01,06,15.05
growth_mom,2019-04-01,06,-5.976
growth_mom,2019-05-01,06,3.764
growth_mom,2019-06-01,06,-4.702
growth_mom,2019-07-01,06,-11.067
growth_mom,2019-08-01,06,6.446
growth_mom,2019-09-01,06,-1.963
growth_mom,2019-10-01,06,8.875
growth_mom,2019-11-01,06,5.445
growth_mom,2019-12-01,06,-2.112
growth_mom,2020-01-01,06,2.287
growth_mom,2020-02-01,06,-7.658
growth_mom,2020-03-01,06,1.323
growth_mom,2020-04-01,06,-16.98
growth_mom,2020-05-01,06,-0.558
growth_mom,2020-06-01,06,3.768
growth_mom,2020-07-01,06,3.989
growth_mom,2020-08-01,06,-1.94
growth_mom,2020-09-01,06,-1.389
growth_mom,2020-10-01,06,6.872
growth_mom,2020-11-01,06,-1.991
growth_mom,2020-12-01,06,9.558
growth_mom,2021-01-01,06,3.483
growth_mom,2021-02-01,06,-8.579
growth_mom,2021-03-01,06,6.509
growth_mom,2021-04-01,06,-5.467
growth_mom,2021-05-01,06,7.027
growth_mom,2021-06-01,06,-7.148
growth_mom,2021-07-01,06,-5.839
growth_mom,2021-08-01,06,-3.072
growth_mom,2021-09-01,06,-4.808
growth_mom,2021-10-01,06,9.456
growth_mom,2021-11-01,06,4.093
growth_mom,2021-12-01,06,4.089
growth_mom,2022-01-01,06,2.55
growth_mom,2022-02-01,06,-6.065
growth_mom,2022-03-01,06,6.819
growth_mom,2022-04-01,06,-6.492
growth_mom,2022-05-01,06,0.814
growth_mom,2022-06-01,06,1.986
growth_mom,2022-07-01,06,-2.223
growth_mom,2022-08-01,06,-1.323
growth_mom,2022-09-01,06,2.872
growth_mom,2022-10-01,06,2.721
growth_mom,2022-11-01,06,2.547
growth_mom,2022-12-01,06,-0.034
growth_mom,2023-01-01,06,2.21
growth_mom,2023-02-01,06,-9.568
growth_mom,2023-03-01,06,8.491
growth_mom,2023-04-01,06,-10.694
growth_mom,2023-05-01,06,7.647
growth_mom,2023-06-01,06,-7.678
growth_mom,2023-07-01,06,8.035
growth_mom,2023-08-01,06,-5.425
growth_mom,2023-09-01,06,-1.642
growth_mom,2023-10-01,06,15.326
growth_mom,2023-11-01,06,-1.815
growth_mom,2023-12-01,06,2.787
growth_mom,2024-01-01,06,3.098
growth_mom,2024-02-01,06,-6.937
growth_mom,2024-03-01,06,5.32
growth_mom,2024-04-01,06,-6.317
